token,api_symbol,name,exch_seg,lotsize
11309,BALAXI,BALAXI,NSE,1
11335,93SCFL25,93SCFL25,NSE,1
11365,865SCL24B,865SCL24B,NSE,1
11369,TTKHLTCARE,TTKHLTCARE,NSE,1
11403,POONAWALLA,POONAWALLA,NSE,1
11411,RKFORGE,RKFORGE,NSE,1
11418,774RJ42,774RJ42,NSE,100
11423,DATAMATICS,DATAMATICS,NSE,1
11439,BANKBEES,BANKBEES,NSE,1
11445,PILANIINVS,PILANIINVS,NSE,1
11452,CCL,CCL,NSE,1
11509,785SK32,785SK32,NSE,100
11538,HDFCMOMENT,HDFCMOMENT,NSE,1
11573,FORCEMOT,FORCEMOT,NSE,1
11580,WESTLIFE,WESTLIFE,NSE,1
11590,77MH30,77MH30,NSE,100
117,OMFURN,OMFURN,NSE,1200
11593,HDFCSENSEX,HDFCSENSEX,NSE,1
11626,WELENT,WELENT,NSE,1
11701,787RJ40,787RJ40,NSE,100
11703,ALKEM,ALKEM,NSE,1
11704,783TN42,783TN42,NSE,100
11763,JPPOWER,JPPOWER,NSE,1
11782,EVEREADY,EVEREADY,NSE,1
11809,IIFL,IIFL,NSE,1
11857,89SCL24A,89SCL24A,NSE,1
11866,757GJ26,757GJ26,NSE,100
11905,GENUSPOWER,GENUSPOWER,NSE,1
11975,RML,RML,NSE,1
12032,FIVESTAR,FIVESTAR,NSE,1
12046,UTIDQP35P1,UTIDQP35P1,NSE,1
12173,HNDFDS,HNDFDS,NSE,1
12313,766KA42,766KA42,NSE,100
12444,960CAGL25,960CAGL25,NSE,1
12471,CAGL27A,CAGL27A,NSE,1
1254,673TN40,673TN40,NSE,100
12533,AAATECH,AAATECH,NSE,1
12545,SFMP72DD,SFMP72DD,NSE,1
12689,764AP33,764AP33,NSE,100
12814,HYBRIDFIN,HYBRIDFIN,NSE,1
12941,SFLZC26A,SFLZC26A,NSE,1
13051,753TS47,753TS47,NSE,100
13101,VIMTALABS,VIMTALABS,NSE,1
13102,SFMP73DD,SFMP73DD,NSE,1
13108,SFMP73GR,SFMP73GR,NSE,1
13120,TVSELECT,TVSELECT,NSE,1
13139,EBBETF0433,EBBETF0433,NSE,1
13158,UTIRFP35P2,UTIRFP35P2,NSE,1
13218,SULA,SULA,NSE,1
13234,ABSLFTUBRG,ABSLFTUBRG,NSE,1
13236,SADBHAV,SADBHAV,NSE,1
13257,767JH37,767JH37,NSE,100
13275,INDOTECH,INDOTECH,NSE,1
13370,SGL,SGL,NSE,1
13376,UTTAMSUGAR,UTTAMSUGAR,NSE,1
13404,SUNTV,SUNTV,NSE,1
13387,766TS34,766TS34,NSE,100
1342,SGBN28VIII,SGBN28VIII,NSE,1
13421,EMKAY,EMKAY,NSE,1
13430,KELLTONTEC,KELLTONTEC,NSE,1
13487,894SCL27,894SCL27,NSE,1
13491,JKLAKSHMI,JKLAKSHMI,NSE,1
13528,GMRAIRPORT,GMRAIRPORT,NSE,1
13538,TECHM,TECHM,NSE,1
13540,HDFC1204DG,HDFC1204DG,NSE,1
13556,HDFC1204RQ,HDFC1204RQ,NSE,1
13601,76KA33,76KA33,NSE,100
13619,764GA38,764GA38,NSE,100
13642,SGBDE30III,SGBDE30III,NSE,1
13656,ALICON,ALICON,NSE,1
1369,662RJ30,662RJ30,NSE,100
13664,ANLON,ANLON,NSE,400
13702,VISHWARAJ,VISHWARAJ,NSE,1
1376,668JH32,668JH32,NSE,100
13761,BBL,BBL,NSE,1
13773,757GJ32,757GJ32,NSE,100
1380,855IREDA29,855IREDA29,NSE,1
1382,673PN40,673PN40,NSE,100
13776,GESHIP,GESHIP,NSE,1
13786,TORNTPOWER,TORNTPOWER,NSE,1
13839,DONEAR,DONEAR,NSE,1
13870,KUANTUM,KUANTUM,NSE,1
13881,765RJ33,765RJ33,NSE,100
13882,765HR33,765HR33,NSE,100
13886,764MH33,764MH33,NSE,100
13901,77HP38,77HP38,NSE,100
13906,766WB39,766WB39,NSE,100
13920,PLASTIBLEN,PLASTIBLEN,NSE,1
13939,UTIDGR35P3,UTIDGR35P3,NSE,1
13948,UTIRGR35P3,UTIRGR35P3,NSE,1
13960,766RJ33,766RJ33,NSE,100
14,656KA30,656KA30,NSE,100
13965,767MP33,767MP33,NSE,100
13973,772UP36,772UP36,NSE,100
14160,771AS33,771AS33,NSE,100
14164,762PY35,762PY35,NSE,100
14172,SHERA,SHERA,NSE,1000
14203,HUBTOWN,HUBTOWN,NSE,1
14214,IMC1,IMC1,NSE,1
14224,IMC1,IMC1,NSE,1
14230,HDFCBSE500,HDFCBSE500,NSE,1
1432,668AP35A,668AP35A,NSE,100
14274,766SK33,766SK33,NSE,100
14327,HDFC2638RG,HDFC2638RG,NSE,1
14336,HDFC2638DQ,HDFC2638DQ,NSE,1
14347,769WB42,769WB42,NSE,100
14350,ORIENTALTL,ORIENTALTL,NSE,1
14376,774UK33,774UK33,NSE,100
1449,593CG26,593CG26,NSE,100
14506,SYSTANGO,SYSTANGO,NSE,400
14511,BANSWRAS,BANSWRAS,NSE,1
14518,ABSLLIQUID,ABSLLIQUID,NSE,1
14538,773UP33,773UP33,NSE,100
14597,ALPHAGEO,ALPHAGEO,NSE,1
14547,NDLVENTURE,NDLVENTURE,NSE,1
14559,766MP48,766MP48,NSE,100
1467,AKZOINDIA,AKZOINDIA,NSE,1
14634,735GJ26,735GJ26,NSE,100
14636,77AP30A,77AP30A,NSE,100
14637,772HP31,772HP31,NSE,100
14702,NAGREEKEXP,NAGREEKEXP,NSE,1
14704,965SCL28,965SCL28,NSE,1
14731,HFMPM23DND,HFMPM23DND,NSE,1
14747,011NSETEST,011NSETEST,NSE,1
14769,091NSETEST,091NSETEST,NSE,1
14777,121NSETEST,121NSETEST,NSE,1
14819,773MH32,773MH32,NSE,100
14820,776UK33,776UK33,NSE,100
14821,775NL33,775NL33,NSE,100
14829,779UP33,779UP33,NSE,100
14832,WSI,WSI,NSE,1
14838,DECCANCE,DECCANCE,NSE,1
149,SGBSEP28VI,SGBSEP28VI,NSE,1
14840,783KL39,783KL39,NSE,100
14860,776TN53,776TN53,NSE,100
14946,F13DG,F13DG,NSE,1
14982,CENTUM,CENTUM,NSE,1
14993,SOTAC,SOTAC,NSE,1200
1508,ASTERDM,ASTERDM,NSE,1
15067,BLAL,BLAL,NSE,1
15126,SVLL,SVLL,NSE,1
15231,1025SFIL26,1025SFIL26,NSE,1
15239,BIRLAMONEY,BIRLAMONEY,NSE,1
15266,JKIL,JKIL,NSE,1
1530,INDIANHUME,INDIANHUME,NSE,1
15303,BANG,BANG,NSE,1
15319,747PN43,747PN43,NSE,100
1570,GMMPFAUDLR,GMMPFAUDLR,NSE,1
15374,840CIFCL28,840CIFCL28,NSE,1
15749,733TN33,733TN33,NSE,100
15759,735AP39,735AP39,NSE,100
15971,72MH28,72MH28,NSE,100
16019,734AS33,734AS33,NSE,100
1614,FAIRCHEMOR,FAIRCHEMOR,NSE,1
1624,IOC,IOC,NSE,1
16045,PRINCEPIPE,PRINCEPIPE,NSE,1
166,ANDHRAPAP,ANDHRAPAP,NSE,1
16249,INFIBEAM,INFIBEAM,NSE,1
16638,726HP29,726HP29,NSE,100
16647,733AP33,733AP33,NSE,100
16806,739AP35,739AP35,NSE,100
16809,736TS41,736TS41,NSE,100
16974,74CG30,74CG30,NSE,100
17022,MAWANASUG,MAWANASUG,NSE,1
17119,744TN33A,744TN33A,NSE,100
17140,IDEAFORGE,IDEAFORGE,NSE,1
17167,GLOBALPET,GLOBALPET,NSE,1500
17210,TRIDHYA,TRIDHYA,NSE,3000
17271,SENCO,SENCO,NSE,1
17279,BLS,BLS,NSE,1
10052,SFMP6DR,SFMP6DR,NSE,1
1018,68TS50,68TS50,NSE,100
10055,SFMP6GD,SFMP6GD,NSE,1
10201,ICICM58,ICICM58,NSE,1
10233,765GJ29,765GJ29,NSE,100
10238,CONFIPET,CONFIPET,NSE,1
10243,SYNGENE,SYNGENE,NSE,1
10271,79TS44,79TS44,NSE,100
10282,KAYA,KAYA,NSE,1
10310,AURUM,AURUM,NSE,1
104,SHAREINDIA,SHAREINDIA,NSE,1
10325,SKP,SKP,NSE,500
10366,UNIVAFOODS,UNIVAFOODS,NSE,1
10417,DYCL,DYCL,NSE,1
10447,UNITDSPR,UNITDSPR,NSE,1
10458,779AP31,779AP31,NSE,100
10479,797HR42,797HR42,NSE,100
1054,515GS2025,515GS2025,NSE,1
10500,H1158D46DG,H1158D46DG,NSE,1
10525,782RJ44,782RJ44,NSE,100
10551,789HP37,789HP37,NSE,100
10576,NIFTYBEES,NIFTYBEES,NSE,1
10640,795HR37,795HR37,NSE,100
10647,774AP31,774AP31,NSE,100
10684,SHAIVAL,SHAIVAL,NSE,3600
1074,655GA30,655GA30,NSE,100
10717,TIMESGTY,TIMESGTY,NSE,1
10761,SILVERADD,SILVERADD,NSE,1
1085,GABRIEL,GABRIEL,NSE,1
10773,776KL38,776KL38,NSE,100
10793,SYRMA,SYRMA,NSE,1
10836,SEYAIND,SEYAIND,NSE,1
1086,66UP30,66UP30,NSE,100
10853,761HR32,761HR32,NSE,100
10865,GVPTECH,GVPTECH,NSE,1
10876,HDFCSILVER,HDFCSILVER,NSE,1
1090,684MZ34,684MZ34,NSE,100
1092,675KA34,675KA34,NSE,100
10912,758GA37,758GA37,NSE,100
10961,75HP37,75HP37,NSE,100
11006,LIQUIDBEES,LIQUIDBEES,NSE,1
11050,SIRCA,SIRCA,NSE,1
1116,DANGEE,DANGEE,NSE,1
11060,KSOLVES,KSOLVES,NSE,1
11162,HARSHA,HARSHA,NSE,1
11193,AXISILVER,AXISILVER,NSE,1
11220,VARDHACRLC,VARDHACRLC,NSE,1
11230,1050UCL25,1050UCL25,NSE,1
1135,GTECJAINX,GTECJAINX,NSE,1
11260,HDFCVALUE,HDFCVALUE,NSE,1
11271,DREDGECORP,DREDGECORP,NSE,1
11339,894SCL25,894SCL25,NSE,1
11371,BGLOBAL,BGLOBAL,NSE,1
11377,MAHABANK,MAHABANK,NSE,1
11394,ZOTA,ZOTA,NSE,1
11399,SALZERELEC,SALZERELEC,NSE,1
11447,CMRSL,CMRSL,NSE,800
11461,JPASSOCIAT,JPASSOCIAT,NSE,1
11532,ULTRACEMCO,ULTRACEMCO,NSE,1
11549,TEXINFRA,TEXINFRA,NSE,1
11561,HDFC1359DQ,HDFC1359DQ,NSE,1
11581,GULFPETRO,GULFPETRO,NSE,1
11676,774HR29,774HR29,NSE,100
11677,INDOCO,INDOCO,NSE,1
11682,785BR32A,785BR32A,NSE,100
11693,782TN32,782TN32,NSE,100
11696,789TS36,789TS36,NSE,100
11698,793WB37,793WB37,NSE,100
11754,753IRFC30,753IRFC30,NSE,1
11769,783PN42,783PN42,NSE,100
11779,ACEINTEG,ACEINTEG,NSE,1
11829,SSWL,SSWL,NSE,1
11846,87SCL27A,87SCL27A,NSE,1
11877,78TN42,78TN42,NSE,100
11903,IPSL,IPSL,NSE,500
11909,SWELECTES,SWELECTES,NSE,1
11932,FUSION,FUSION,NSE,1
11945,ANZEN,ANZEN,NSE,25000
11952,739NHAI26,739NHAI26,NSE,1
11981,765PN42,765PN42,NSE,100
12018,SUZLON,SUZLON,NSE,1
12048,UTIRAP35P1,UTIRAP35P1,NSE,1
11997,SYNCOMF,SYNCOMF,NSE,1
12108,HDFCPVTBAN,HDFCPVTBAN,NSE,1
12121,AARTISURF,AARTISURF,NSE,1
12124,DOLATALGO,DOLATALGO,NSE,1
1227,65KA30A,65KA30A,NSE,100
1234,SOLEX,SOLEX,NSE,125
1237,657GA30,657GA30,NSE,100
12328,763TS44,763TS44,NSE,100
12556,SFMP72DR,SFMP72DR,NSE,1
12661,755AP29,755AP29,NSE,100
12919,931SFL26,931SFL26,NSE,1
13081,TRIVENI,TRIVENI,NSE,1
13092,ARHAM,ARHAM,NSE,1000
13182,ROHLTD,ROHLTD,NSE,1
13229,GVKPIL,GVKPIL,NSE,1
13243,765GA32,765GA32,NSE,100
13244,763HR32,763HR32,NSE,100
13248,764WB32,764WB32,NSE,100
13285,M&MFIN,M&MFIN,NSE,1
13288,AFSL,AFSL,NSE,1
13310,KEI,KEI,NSE,1
13337,GALLANTT,GALLANTT,NSE,1
13377,761RJ32,761RJ32,NSE,100
13401,767WB41,767WB41,NSE,100
13414,RSYSTEMS,RSYSTEMS,NSE,1
13436,LOKESHMACH,LOKESHMACH,NSE,1
13472,645GS2029,645GS2029,NSE,1
13496,PFOCUS,PFOCUS,NSE,1
13536,VIDHIING,VIDHIING,NSE,1
13557,AVONMORE,AVONMORE,NSE,1
13600,762HR31,762HR31,NSE,100
13621,764WB42,764WB42,NSE,100
13717,759AP33,759AP33,NSE,100
13718,763TS36,763TS36,NSE,100
13801,SUTLEJTEX,SUTLEJTEX,NSE,1
13812,FEL,FEL,NSE,1
13816,LTFOODS,LTFOODS,NSE,1
13826,SOBHA,SOBHA,NSE,1
13844,MMFL,MMFL,NSE,1
13845,875IIFL26A,875IIFL26A,NSE,1
13887,764GA33,764GA33,NSE,100
13856,VENUSREM,VENUSREM,NSE,1
1393,880IREDA34,880IREDA34,NSE,1
13900,CREST,CREST,NSE,1
13915,764HR31,764HR31,NSE,100
13916,763GJ32,763GJ32,NSE,100
13937,UTIDAP35P3,UTIDAP35P3,NSE,1
13946,UTIRAP35P3,UTIRAP35P3,NSE,1
13950,LIQUID1,LIQUID1,NSE,1
13982,JASH,JASH,NSE,1
13993,768TS42,768TS42,NSE,100
13994,766RJ43,766RJ43,NSE,100
13995,766TS44,766TS44,NSE,100
14008,AVTNPL,AVTNPL,NSE,1
14052,GRCL,GRCL,NSE,250
14064,ASMS,ASMS,NSE,1
14086,IGPL,IGPL,NSE,1
14117,755TN53,755TN53,NSE,100
14150,BTML,BTML,NSE,1
14163,762MP34,762MP34,NSE,100
14165,762MN35,762MN35,NSE,100
14168,759PY41,759PY41,NSE,100
14180,NSLNISP,NSLNISP,NSE,1
14194,NINSYS,NINSYS,NSE,1
14219,IMC1,IMC1,NSE,1
14222,CTE,CTE,NSE,1
1428,662NL30,662NL30,NSE,100
14276,759HP38,759HP38,NSE,100
14296,SEQUENT,SEQUENT,NSE,1
14318,TTL,TTL,NSE,1
14379,776MN35,776MN35,NSE,100
14411,SRIVASAVI,SRIVASAVI,NSE,1000
14418,ASTRAL,ASTRAL,NSE,1
14423,LAOPALA,LAOPALA,NSE,1
14503,VERTEXPLUS,VERTEXPLUS,NSE,600
14522,739NHAI31A,739NHAI31A,NSE,1
14539,772AS33,772AS33,NSE,100
14548,768GJ33,768GJ33,NSE,100
14563,766KL50,766KL50,NSE,100
14616,SIMBHALS,SIMBHALS,NSE,1
14620,CHEMBOND,CHEMBOND,NSE,1
14649,778UP35,778UP35,NSE,100
14672,NAVINFLUOR,NAVINFLUOR,NSE,1
14767,081NSETEST,081NSETEST,NSE,1
14854,783RJ50,783RJ50,NSE,100
14830,781UP34A,781UP34A,NSE,100
14839,779HP38,779HP38,NSE,100
14868,FLFL,FLFL,NSE,1
14920,TAKE,TAKE,NSE,1
15015,749MH30,749MH30,NSE,100
15018,MAANALU,MAANALU,NSE,1
15019,759PN33,759PN33,NSE,100
15030,ASCOM,ASCOM,NSE,500
15034,BAJAJELEC,BAJAJELEC,NSE,1
15073,BVCL,BVCL,NSE,1
15078,CUBEINVIT,CUBEINVIT,NSE,25000
15082,RADIOCITY,RADIOCITY,NSE,1
15100,762PN38,762PN38,NSE,100
15119,EDELWEISS,EDELWEISS,NSE,1
15141,COLPAL,COLPAL,NSE,1
15151,MADHAV,MADHAV,NSE,1
15193,BGRENERGY,BGRENERGY,NSE,1
15214,DVL,DVL,NSE,1
15267,747AP37,747AP37,NSE,100
15283,KNRCON,KNRCON,NSE,1
15308,SEPC,SEPC,NSE,1
15332,NMDC,NMDC,NSE,1
15347,GSS,GSS,NSE,1
1547,RKEC,RKEC,NSE,1
15420,ACL,ACL,NSE,1
15477,74AP31,74AP31,NSE,100
15500,739HR31,739HR31,NSE,100
15503,739TN33,739TN33,NSE,100
15653,ATALREAL,ATALREAL,NSE,1
16064,735HR33,735HR33,NSE,100
161,674UP30,674UP30,NSE,100
1628,BECTORFOOD,BECTORFOOD,NSE,1
1652,663TN35,663TN35,NSE,100
16398,732KL53,732KL53,NSE,100
16653,733AP42,733AP42,NSE,100
16654,733AP43,733AP43,NSE,100
16664,SIGMA,SIGMA,NSE,1
16782,734MH31,734MH31,NSE,100
16822,IKIO,IKIO,NSE,1
16870,81TCHF28,81TCHF28,NSE,1
16874,84TCHF28,84TCHF28,NSE,1
16915,ZFCVINDIA,ZFCVINDIA,NSE,1
16923,74AP32,74AP32,NSE,100
16939,734TN43,734TN43,NSE,100
16961,AATMAJ,AATMAJ,NSE,2000
16989,COUNCODOS,COUNCODOS,NSE,1
17111,746AP43,746AP43,NSE,100
17115,743TS50,743TS50,NSE,100
1712,66ML30A,66ML30A,NSE,100
17122,744RJ33,744RJ33,NSE,100
17159,875SFL27,875SFL27,NSE,1
1720,JAYSREETEA,JAYSREETEA,NSE,1
17197,PAKKA,PAKKA,NSE,1
17207,ITETFADD,ITETFADD,NSE,1
17221,742TN33,742TN33,NSE,100
17257,742KL43,742KL43,NSE,100
17328,734TS44,734TS44,NSE,100
10051,SFMP6DD,SFMP6DD,NSE,1
1006,675KA35,675KA35,NSE,100
1008,FACT,FACT,NSE,1
10074,EMAMIPAP,EMAMIPAP,NSE,1
1012,676MP40,676MP40,NSE,100
1015,688WB40,688WB40,NSE,100
10255,795AP40A,795AP40A,NSE,100
10268,804PN42,804PN42,NSE,100
1038,FINCABLES,FINCABLES,NSE,1
10357,783AS32,783AS32,NSE,100
10406,STEELCITY,STEELCITY,NSE,1
10435,OSEINTRUST,OSEINTRUST,NSE,25000
10463,782NL32,782NL32,NSE,100
10480,797RJ42,797RJ42,NSE,100
1053,UFLEX,UFLEX,NSE,1
10515,UTISENSETF,UTISENSETF,NSE,1
10559,743HP28,743HP28,NSE,100
10610,USASEEDS,USASEEDS,NSE,300
10638,777RJ32,777RJ32,NSE,100
10639,797AP36,797AP36,NSE,100
10651,775TN32,775TN32,NSE,100
10718,772AP35,772AP35,NSE,100
10722,726GS2032,726GS2032,NSE,1
10737,711NTPC25A,711NTPC25A,NSE,1
10738,OFSS,OFSS,NSE,1
10757,HIGHWAYS,HIGHWAYS,NSE,25000
10845,771KL42,771KL42,NSE,100
10846,771AP42,771AP42,NSE,100
10848,771AP37,771AP37,NSE,100
10923,753BR32,753BR32,NSE,100
10939,JUNIORBEES,JUNIORBEES,NSE,1
10959,749HP34,749HP34,NSE,100
11032,SANGINITA,SANGINITA,NSE,1
11058,SECURKLOUD,SECURKLOUD,NSE,1
11159,756WB39,756WB39,NSE,100
11160,756TS40,756TS40,NSE,100
11208,KANDARP,KANDARP,NSE,2000
11282,769BR32,769BR32,NSE,100
11284,767HR32,767HR32,NSE,100
11223,UCOBANK,UCOBANK,NSE,1
11291,768WB32,768WB32,NSE,100
11373,BIOCON,BIOCON,NSE,1
11374,TIPSFILMS,TIPSFILMS,NSE,1
11588,741GJ26,741GJ26,NSE,100
11416,77PN42,77PN42,NSE,100
11491,APARINDS,APARINDS,NSE,1
11589,762GJ29,762GJ29,NSE,100
11597,774GA32,774GA32,NSE,100
11627,NARMADA,NARMADA,NSE,1
11667,DWARKESH,DWARKESH,NSE,1
11690,781HR32C,781HR32C,NSE,100
11691,784RJ32,784RJ32,NSE,100
11706,781KL44,781KL44,NSE,100
1172,681TR35,681TR35,NSE,100
11759,786AP33,786AP33,NSE,100
11764,782AS32A,782AS32A,NSE,100
11768,784TS40,784TS40,NSE,100
1181,GODFRYPHLP,GODFRYPHLP,NSE,1
11833,88SCL25,88SCL25,NSE,1
1185,AMBER,AMBER,NSE,1
11837,894SCL25A,894SCL25A,NSE,1
11864,PRIMESECU,PRIMESECU,NSE,1
11868,63MOONS,63MOONS,NSE,1
1190,FMGOETZE,FMGOETZE,NSE,1
11873,787MZ36,787MZ36,NSE,100
11882,783BR32,783BR32,NSE,100
11939,AMIABLE,AMIABLE,NSE,1600
11949,714NHAI26,714NHAI26,NSE,1
11966,BIKAJI,BIKAJI,NSE,1
11971,GOLDIAM,GOLDIAM,NSE,1
11984,767KA32,767KA32,NSE,100
11985,768BR32,768BR32,NSE,100
12000,FAZE3Q,FAZE3Q,NSE,1
12039,UTIDAP35P1,UTIDAP35P1,NSE,1
12057,UTIRFP35P1,UTIRFP35P1,NSE,1
12060,UTIRGR35P1,UTIRGR35P1,NSE,1
12219,RUSTOMJEE,RUSTOMJEE,NSE,1
12295,768HR31,768HR31,NSE,100
12311,774KA37,774KA37,NSE,100
12465,10CAGL27,10CAGL27,NSE,1
12660,75AP28,75AP28,NSE,100
12863,V1NSETEST,V1NSETEST,NSE,1
12904,SGBAUG27,SGBAUG27,NSE,1
13038,755BR32A,755BR32A,NSE,100
13072,IIFLCAPS,IIFLCAPS,NSE,1
1315,GALAXYSURF,GALAXYSURF,NSE,1
13103,SFMP73DR,SFMP73DR,NSE,1
13152,UTIDFP35P2,UTIDFP35P2,NSE,1
13153,UTIDGR35P2,UTIDGR35P2,NSE,1
13164,UTIRQP35P2,UTIRQP35P2,NSE,1
13211,JAGRAN,JAGRAN,NSE,1
13242,764BR32,764BR32,NSE,100
13298,VISASTEEL,VISASTEEL,NSE,1
13305,CENTURYPLY,CENTURYPLY,NSE,1
13323,DOLLEX,DOLLEX,NSE,4000
1336,HEG,HEG,NSE,1
13352,MALUPAPER,MALUPAPER,NSE,1
13409,GPIL,GPIL,NSE,1
13375,763KL32,763KL32,NSE,100
1341,585GS2030,585GS2030,NSE,1
13446,SHIVAUM,SHIVAUM,NSE,500
1348,HEROMOTOCO,HEROMOTOCO,NSE,1
13465,955SCL25,955SCL25,NSE,1
13484,98SCL27,98SCL27,NSE,1
13497,965SCL25C,965SCL25C,NSE,1
13510,AKASH,AKASH,NSE,1
1353,AMJUMBO,AMJUMBO,NSE,8000
13539,HDFC1204DD,HDFC1204DD,NSE,1
13578,RBMINFRA,RBMINFRA,NSE,200
1362,64AP28,64AP28,NSE,100
13602,762TN33,762TN33,NSE,100
13620,ANANTRAJ,ANANTRAJ,NSE,1
1363,HINDALCO,HINDALCO,NSE,1
1365,653KA30,653KA30,NSE,100
13658,GEECEE,GEECEE,NSE,1
1373,665JK30,665JK30,NSE,100
13716,762UK33,762UK33,NSE,100
13721,759TS40,759TS40,NSE,100
13753,MANOMAY,MANOMAY,NSE,1
